episode,reward,victims_rescued,coverage_ratio,steps,total_loss,actor_loss,critic_loss,entropy
29,236.8001477024451,5,0.28444445,201,762.8927449190523,0.003630539169535041,762.8891143798828,1.3067722022533417
30,126.50153328261669,3,0.26666668,215,839.108331902069,-0.003469245391897857,839.1118011474609,1.3021704256534576
31,97.12790421184262,4,0.17777778,214,1059.1638085430022,0.01100702933035791,1059.1528015136719,1.2952740490436554
32,39.489178811446465,1,0.11111111,210,787.8880854657618,0.007943253847770393,787.8801422119141,1.2883943319320679
33,231.4987978653759,5,0.25333333,199,740.3925582584925,0.01136319013312459,740.3811950683594,1.2845697700977325
34,160.0975830744603,3,0.2488889,209,805.0682402688544,0.015444858698174357,805.0527954101562,1.2890252768993378
35,141.38482224891447,5,0.22666667,215,796.0281645313371,0.007855083094909787,796.0203094482422,1.2957124710083008
36,39.7654507164723,1,0.13777778,214,790.3273153629852,0.0038137760711833835,790.3235015869141,1.299839735031128
37,205.40047981298304,5,0.29777777,210,692.923240587581,0.017158434260636568,692.9060821533203,1.3009372353553772
38,10.320903395227708,1,0.13777778,220,913.1917272566934,0.0019994734902866185,913.1897277832031,1.302450716495514
39,233.42441160263994,5,0.26666668,203,940.3241114806151,0.0030818175291642547,940.3210296630859,1.301809161901474
40,88.74956822566214,3,0.16,211,602.1852621919243,0.005589950713329017,602.1796722412109,1.301471620798111
41,139.8718595178791,3,0.23111111,211,728.8384504104033,0.006831147707998753,728.8316192626953,1.302630364894867
42,208.95453291021659,4,0.2488889,200,497.2138375286013,0.0074471477419137955,497.2063903808594,1.305390626192093
43,143.67674526588584,4,0.2488889,211,843.4434560062364,0.010182690806686878,843.4332733154297,1.3063988983631134
44,276.7788095770494,6,0.33333334,204,1534.9841491336701,0.004840051638893783,1534.9793090820312,1.3047800958156586
45,87.99259935941947,1,0.22666667,213,819.766120795859,0.007408027304336429,819.7587127685547,1.3072555363178253
46,163.6316037327933,4,0.2711111,211,633.6298250560649,0.017154157627373934,633.6126708984375,1.3116835951805115
47,79.32542348429322,2,0.20888889,217,783.5852632599417,0.010815628105774522,783.5744476318359,1.3131496608257294
48,167.30050768862284,6,0.22666667,209,791.9757276271703,0.0049176906468346715,791.9708099365234,1.3138848543167114
49,271.6785734549717,5,0.34666666,204,890.8379865166498,0.004536199267022312,890.8334503173828,1.3169512152671814
50,215.68402664240097,4,0.27555555,202,666.1209275383735,0.006669725873507559,666.1142578125,1.3162733614444733
51,87.764258639826,1,0.16444445,208,1035.9041712084436,0.0036890307092107832,1035.9004821777344,1.319352388381958
52,-77.4343108680169,1,0.093333334,229,931.4184827561257,0.006739592063240707,931.4117431640625,1.3198351562023163
53,146.862517678842,3,0.2888889,214,589.7674785437994,0.005912381689995527,589.7615661621094,1.321102261543274
54,282.26792837569764,6,0.3422222,202,800.4191588611575,0.007858201977796853,800.4113006591797,1.3253670632839203
55,136.82671590449777,3,0.24444444,213,627.6968247479526,0.005418497952632606,627.69140625,1.330292284488678
56,132.46043025035232,4,0.20888889,211,789.2225528953131,0.003177284961566329,789.2193756103516,1.3351587057113647
57,122.73567068460338,4,0.20444444,213,756.0522556594369,-0.0014247604849515483,756.0536804199219,1.3411836624145508
58,218.21885723855607,4,0.26666668,203,791.646706421132,0.0012749025772791356,791.6454315185547,1.3530433177947998
59,138.8727076045519,2,0.25333333,211,1011.6416696653905,-0.0005117310938658193,1011.6421813964844,1.3621898293495178
60,205.204442649524,5,0.28,209,1126.6744930154528,-0.0029972189222462475,1126.677490234375,1.372858852148056
61,-64.80805601337295,1,0.08888889,228,1512.311972148611,0.00026560564219835214,1512.3117065429688,1.380290299654007
62,30.316785955238966,2,0.16,220,1471.60272329695,0.0010387266374891624,1471.6016845703125,1.383309692144394
63,59.39362997953492,2,0.14666666,211,1359.7083290707797,0.0002602231234050123,1359.7080688476562,1.3825612664222717
64,143.61949564176064,6,0.27555555,218,1588.9459394670557,0.002061293227598071,1588.9438781738281,1.3816570341587067
65,117.99915058120021,3,0.26666668,216,863.3394824125862,0.0011492827034089714,863.3383331298828,1.383097529411316
66,-9.76331779725349,3,0.12444445,223,1297.8397463409638,-0.0022641570831183344,1297.8420104980469,1.3832184374332428
67,220.94239268600322,4,0.3288889,206,1274.5641972584708,-0.0014765696541871876,1274.565673828125,1.380980908870697
68,44.13534743744143,1,0.14666666,212,1224.7203430975787,-0.0026488457806408405,1224.7229919433594,1.3768272995948792
69,226.77227781168034,5,0.33333334,212,658.3967999550514,0.0009564491920173168,658.3958435058594,1.3747932314872742
70,155.96856076183155,3,0.30666667,211,892.4642535108433,0.001790131937013939,892.4624633789062,1.3757576048374176
71,-18.443269096688653,2,0.15111111,226,852.3901365158817,-0.0011446120479376987,852.3912811279297,1.3787329494953156
72,131.264084257911,3,0.23555556,211,1062.5160491785136,-0.0004303136738599278,1062.5164794921875,1.3805944919586182
73,83.51452638050968,2,0.21777777,216,1155.3252927362919,-0.000696033239364624,1155.3259887695312,1.382353812456131
74,103.27315419481485,3,0.20888889,213,1265.0307543116724,-0.0004041355932713486,1265.0311584472656,1.381708949804306
75,60.56200292339743,4,0.18666667,220,828.3766436745063,-0.00018738018115982413,828.3768310546875,1.380811333656311
76,9.970118776930656,2,0.2,224,1115.507084157085,-0.0017354229930788279,1115.5088195800781,1.3804343342781067
77,106.25439675758292,3,0.25777778,219,667.3274221760366,-0.0008554118539905176,667.3282775878906,1.3792598843574524
78,141.09762340947464,3,0.21777777,209,841.1838859844429,0.0016197490913327783,841.1822662353516,1.378835916519165
79,56.71632111543676,2,0.18666667,217,1098.1394091116963,0.00235466833692044,1098.1370544433594,1.3773592114448547
80,70.48338952527092,2,0.20888889,217,843.67161552381,-0.001983719354029745,843.6735992431641,1.3770784139633179
81,27.534136240421336,1,0.14222223,216,1039.1808326401588,0.00022961281501920894,1039.1806030273438,1.3786829113960266
82,72.38723413694645,1,0.20888889,215,1409.6048882799514,-0.0008551282517146319,1409.6057434082031,1.3798516988754272
83,148.16120822490052,6,0.25777778,216,772.8769609499141,0.0005266237421892583,772.8764343261719,1.3808629512786865
84,85.57566970626993,3,0.23111111,217,1362.386702477408,0.0009297723299823701,1362.3857727050781,1.3817315995693207
85,69.45840104702819,2,0.16888888,214,529.4427981702647,-0.0005001695790269878,529.4432983398438,1.3831179738044739
86,72.17133634795674,2,0.23111111,220,797.0241334482544,0.00013137305904820096,797.0240020751953,1.3826282918453217
87,58.188894373149395,4,0.18222222,220,635.1372404399735,-0.00025650826864875853,635.1374969482422,1.3820744156837463
88,7.842745517161871,2,0.19555555,224,996.5536756156071,0.0013227103336248547,996.5523529052734,1.3821821808815002
89,-26.873681263118947,1,0.115555555,223,856.060199161242,0.0008119542108033784,856.0593872070312,1.3839930295944214
90,67.05942078149481,3,0.17333333,216,882.3603186375767,0.0005621678501483984,882.3597564697266,1.383768767118454
91,81.51866767624266,2,0.17777778,214,881.0163547547709,-0.0006893126119393855,881.0170440673828,1.383975476026535
92,176.09312277247693,3,0.31111112,212,1079.2348492222081,-0.0008990688074845821,1079.2357482910156,1.3837911486625671
93,-84.6751833204211,1,0.14222223,231,898.1740690542356,0.0014158559934003279,898.1726531982422,1.3825357556343079
94,-69.30973987244866,2,0.13777778,230,812.3157925224514,0.0011562919826246798,812.3146362304688,1.3820965588092804
95,118.43115762373787,3,0.23111111,214,827.2903539528634,0.0011236061836825684,827.2892303466797,1.3823232054710388
96,0.8083126237247131,4,0.13777778,226,812.3063728159032,0.0004951303562847897,812.3058776855469,1.3818827867507935
97,-23.682392763694963,2,0.13333334,226,693.6836525733379,-0.0006278221699176356,693.6842803955078,1.382330745458603
98,71.40359068489471,2,0.2,218,692.484579754565,-0.0004818909428649931,692.4850616455078,1.3833174407482147
99,277.09206651953235,7,0.31555554,206,830.8997337157198,-0.0006569092802237719,830.900390625,1.380600929260254
100,-29.00590210134427,3,0.16444445,231,599.1332084689057,-0.00039748812559992075,599.1336059570312,1.3793871104717255
101,19.927277718361434,1,0.16444445,219,649.1107489754504,-0.001143724744906649,649.1118927001953,1.3782106339931488
102,91.04630269855387,4,0.24444444,219,557.6600375939743,0.0017734338180162013,557.6582641601562,1.3738352954387665
103,95.96789512316764,4,0.17333333,217,672.3227816731378,0.0018588215752970427,672.3209228515625,1.376574695110321
104,9.635545255747513,1,0.16444445,219,898.9508671788717,0.0006871251607662998,898.9501800537109,1.3821869492530823
105,6.590853216314439,1,0.13777778,220,889.5665879076987,0.0017990893393289298,889.5647888183594,1.3837672173976898
106,36.460643931076426,2,0.2711111,224,1841.2973683173477,-0.0014903252304065973,1841.2988586425781,1.3831612467765808
107,93.68866037321807,4,0.15555556,212,680.9923300226073,-0.001230768408277072,680.9935607910156,1.3823021352291107
108,76.58419996881474,2,0.19555555,214,651.7029911942664,0.001590437430422753,651.7014007568359,1.376311033964157
109,-62.43848876510535,1,0.12,227,1202.819147787326,0.0005137541229487397,1202.8186340332031,1.370558351278305
110,63.12307642250711,3,0.23555556,224,1074.1780184372237,-0.00020421902627276722,1074.17822265625,1.370750367641449
111,31.322485883239885,3,0.23111111,227,936.8779735944408,0.0020733258861582726,936.8759002685547,1.3740322291851044
112,92.19238896365404,2,0.22666667,215,700.091764966448,-0.0008558831614209339,700.0926208496094,1.3808175027370453
113,89.32611052219853,2,0.23555556,218,892.0835314007545,0.0001573773170093773,892.0833740234375,1.379889339208603
114,-57.07327372628762,2,0.16,228,824.9066322967157,0.00022970882503159373,824.9064025878906,1.3755410015583038
115,3.163200019464247,3,0.17777778,226,720.0391584773897,-0.0017045597196556628,720.0408630371094,1.3725644052028656
116,12.641402024005446,2,0.17777778,222,929.4003702127229,-0.00063076383958105,929.4010009765625,1.3697689473628998
117,32.94586007974401,3,0.17777778,222,639.4889295781977,0.00034315241646254435,639.4885864257812,1.368179976940155
118,-0.22890051417257257,2,0.115555555,218,933.6254522496893,0.0014745885564479977,933.6239776611328,1.3680842220783234
119,-99.41850476635243,1,0.10666667,233,898.3083439566108,-0.0007228158501675352,898.3090667724609,1.3755313158035278
120,71.01431938458033,4,0.22666667,220,621.0910888105573,-0.0021881669817958027,621.0932769775391,1.378569781780243
121,129.7906617993941,6,0.21777777,214,1042.7798115894002,-0.0002787426310533192,1042.7800903320312,1.373155415058136
122,42.4228148890083,3,0.16,220,659.9871230549397,1.4729084796272218e-06,659.9871215820312,1.3740889728069305
123,80.09146267563031,4,0.24444444,224,823.2826571309288,0.0010561787803453626,823.2816009521484,1.3781067728996277
