episode,step,action,reward,energy_used,mission_time,risk_score,battery,time_left,f2_energy,f3_time,f4_risk
0,0,3,0.9804386145655268,0.024433155988989857,0.9617057700930584,0.7508442456284316,0.9755668440110101,0.9807658845981388,0.9755668440110101,0.9807658845981388,0.9849831150874314
0,1,3,0.9616495043720054,0.04636273203556314,1.7191037290031732,1.7153340134178623,0.9536372679644368,0.9656179254199365,0.9536372679644368,0.9656179254199365,0.9656933197316427
0,2,0,0.9501331372843423,0.06334484909817328,2.426466340338996,1.8863206121009939,0.9366551509018267,0.9514706731932201,0.9366551509018267,0.9514706731932201,0.9622735877579801
0,3,0,0.9386911607253378,0.0866696274700407,2.943301520330116,1.9195429973671712,0.9133303725299593,0.9411339695933977,0.9133303725299593,0.9411339695933977,0.9616091400526565
0,4,2,0.9309207986843853,0.10463310851408561,3.070709188777556,2.0595155828603726,0.8953668914859144,0.9385858162244489,0.8953668914859144,0.9385858162244489,0.9588096883427926
0,5,2,0.917502577708745,0.12117325745875901,3.845038164134472,2.470912306615827,0.878826742541241,0.9230992367173106,0.878826742541241,0.9230992367173105,0.9505817538676835
0,6,2,0.9054366657706235,0.13693763814702495,4.001772624836911,3.3358456022183196,0.8630623618529751,0.9199645475032618,0.863062361852975,0.9199645475032618,0.9332830879556336
0,7,3,0.8876266497609068,0.16242182188279947,4.98766911575022,3.747242325973774,0.8375781781172006,0.9002466176849957,0.8375781781172005,0.9002466176849956,0.9250551534805245
0,8,3,0.8746397913918625,0.185666386998834,5.633497029811939,3.887214911466976,0.814333613001166,0.8873300594037613,0.814333613001166,0.8873300594037612,0.9222557017706605
0,9,3,0.8607790984981211,0.21572318962764228,6.176538447166582,3.9204372967331533,0.7842768103723577,0.8764692310566684,0.7842768103723577,0.8764692310566684,0.9215912540653369
0,10,3,0.8419574861541658,0.24703836745003027,6.451446447815266,4.9030122565583465,0.7529616325499697,0.8709710710436948,0.7529616325499697,0.8709710710436946,0.901939754868833
0,11,3,0.8203165024399283,0.2884478238572057,7.253830433808878,5.2763030073416015,0.7115521761427943,0.8549233913238226,0.7115521761427943,0.8549233913238224,0.894473939853168
0,12,3,0.806397855491876,0.31209422832745476,7.7392318827136455,5.696378377132212,0.6879057716725453,0.8452153623457273,0.6879057716725452,0.845215362345727,0.8860724324573558
0,13,3,0.7419349439366681,0.327428861464834,8.721861589335262,6.116453746922822,0.672571138535166,0.8255627682132949,0.672571138535166,0.8255627682132948,0.8776709250615435
0,14,3,0.7286772169923073,0.35033364939502265,9.14520586468934,6.5365291167134325,0.6496663506049775,0.8170958827062134,0.6496663506049773,0.8170958827062133,0.8692694176657314
