episode,reward,victims_rescued,coverage_ratio,steps,total_loss,actor_loss,critic_loss,entropy
41,52.49895174261468,5,0.16444445,150,47.55114337559912,0.14052294972230142,47.41062042587682,1.0821002290437096
42,22.082708728169727,6,0.15555556,150,78.9531022336236,0.10340153175945345,78.84970070186414,1.0574297634394545
43,35.39047103775541,6,0.16444445,150,69.00162521820809,0.09650349021448117,68.90512172799362,0.9812116646452954
44,49.617303265954746,11,0.26222223,150,27.199182382637733,0.09603046518015235,27.10315191745758,0.9398112061776613
45,32.09227662410974,3,0.08888889,150,37.94266779913175,0.0667913598866251,37.875876439245125,0.8353883243705097
46,51.79142020085032,3,0.10222222,150,22.5949107671806,0.05397857613493934,22.54093219104566,0.726074702645603
47,35.136899117507156,5,0.15111111,150,17.847751787735003,0.06554522102478107,17.782206566710222,0.7265792712569237
48,9.302378176309706,4,0.115555555,150,11.93231639004386,0.02488321274837577,11.907433177295484,0.589996097119231
49,47.94072125339898,6,0.20888889,150,8.084969350400282,0.0406642642644185,8.044305086135864,0.5794385777492272
50,32.74015422139388,3,0.12444445,150,6.676302056312316,0.017879746210957437,6.658422310101359,0.5294279163997424
51,71.97700356692641,8,0.27555555,150,6.292390862026399,0.029365372733752195,6.263025489292647,0.4295139108833514
52,37.305803169875674,4,0.115555555,150,5.79875146039443,0.0009706360594320454,5.797780824334998,0.3961834319328007
53,64.52648731429423,6,0.33333334,150,6.01383032382613,0.023064465188470325,5.990765858637659,0.3901393093953007
54,50.734345554318004,6,0.22666667,150,6.013810081156215,0.015069265353591427,5.998740815802624,0.34284531560383347
55,58.798237151851616,3,0.15111111,150,6.30053797006411,0.012376493088116771,6.2881614769759935,0.31439928024222974
56,23.127087230838548,6,0.16888888,150,5.158283639184543,0.008658392722473332,5.149625246462069,0.31254404547967407
57,48.38841898392515,6,0.18666667,150,4.628848515738929,0.002798195628106202,4.626050320110823,0.31894446752573313
58,66.3503408459058,8,0.27555555,150,4.529778467123641,0.01467785310294283,4.515100614020699,0.295435949179687
59,46.76933028594935,8,0.23555556,150,4.793874766518313,0.013362018722354582,4.780512747795958,0.2851174634538199
60,49.8807397864586,7,0.26222223,150,5.019599394113022,-0.0010412787087261677,5.020640672821748,0.2814331505643694
61,49.32006295659324,6,0.20888889,150,4.6780363899827195,-0.010753660009389645,4.68879004999211,0.2687187275212062
62,41.74327051436667,4,0.17333333,150,5.345746431113711,0.025817763066458468,5.319928668047252,0.25822576037363004
63,46.6794643122826,11,0.28,150,4.929964936350619,-0.001128911714706766,4.931093848065326,0.2537065372851334
64,10.0858780051408,5,0.14666666,150,6.667524718581454,-0.01475762100400109,6.682282339585455,0.26066435971542407
