episode,reward,victims_rescued,coverage_ratio
119,-55.84733567395937,3,0.10222222
120,-47.84387612524858,3,0.14666666
121,-46.22991140602545,3,0.14666666
122,-56.27082795678094,2,0.09777778
123,-43.57307787748563,4,0.12444445
124,-46.08184039118955,3,0.12444445
125,-49.827215368189876,2,0.115555555
126,-24.683161446322767,5,0.15111111
127,-69.86848558019751,1,0.11111111
128,-55.00501112078561,2,0.08888889
129,-78.02032560123703,2,0.075555556
130,-44.10562818939931,3,0.12
131,-74.33610180428248,2,0.075555556
132,-60.91842373367197,2,0.115555555
133,-116.4519830146751,1,0.022222223
134,-27.270130093710303,5,0.13333334
135,-46.56352475342831,3,0.12444445
136,-46.494553937912556,3,0.13777778
137,-45.13066729586349,3,0.115555555
138,-72.9049141893678,1,0.08444444
139,-89.95880583906879,3,0.07111111
140,-53.54550960177882,3,0.15555556
141,-31.466040673359775,4,0.12
142,-46.50178149437174,4,0.11111111
143,-43.75910093221959,3,0.08
144,-72.7521728900071,2,0.08888889
145,-76.99769779847435,2,0.093333334
146,-48.98970855158227,3,0.093333334
147,-58.411977522334645,3,0.10666667
148,-83.2626953220915,1,0.14666666
149,-72.63356022955774,1,0.10222222
150,-60.42868233129866,2,0.075555556
151,-62.320625476649205,2,0.11111111
152,-80.18960468761745,1,0.09777778
153,-59.891142250843814,2,0.115555555
154,-38.79023206372689,3,0.13777778
155,-62.105279280363696,2,0.075555556
156,-53.40922318278561,3,0.12
157,-50.22976549861877,3,0.115555555
158,-48.833122403740624,4,0.08
159,-56.17182993301017,2,0.11111111
160,-57.28380068900314,2,0.10222222
161,-79.4559860082412,1,0.08888889
162,-55.9145278419945,3,0.093333334
163,-40.1295105874151,3,0.11111111
164,-52.873510770389586,3,0.10666667
165,-46.44173525547975,3,0.115555555
166,-45.964784726563686,3,0.14666666
167,-82.76004228464237,2,0.057777777
168,-46.46451816148481,3,0.12
169,-82.24197011546812,0,0.08444444
170,-55.16521736473372,4,0.115555555
171,-66.09596943190546,2,0.10666667
172,-68.32871948049046,2,0.075555556
173,-76.77637619058603,2,0.053333335
174,-54.978252684575246,3,0.08
175,-67.42704864544692,3,0.062222224
176,-54.69256217318411,2,0.12444445
177,-72.58907304429243,0,0.12888889
178,-56.15141182826716,2,0.12
179,-131.43240628209824,1,0.022222223
180,-67.69968946217296,1,0.12888889
181,-68.41231329308692,2,0.08888889
182,-61.194905225482756,2,0.093333334
183,-76.7959166624257,2,0.053333335
184,-73.44216416005158,2,0.06666667
185,-66.62092267834126,2,0.14666666
186,-53.99141764980595,2,0.09777778
187,-67.31128324153676,2,0.06666667
188,-60.04036245599126,3,0.10222222
189,-83.74838739166331,1,0.053333335
190,-71.15334463327854,2,0.10222222
191,-41.72497369527575,3,0.11111111
192,-58.30427693231072,2,0.075555556
193,-38.76721901629706,3,0.115555555
194,-55.744982027586474,3,0.093333334
195,-60.4888627961033,2,0.11111111
196,-58.839432207056724,2,0.09777778
197,-43.36919492144614,3,0.14666666
198,-52.77630062181511,3,0.10222222
199,-72.5161653527004,2,0.075555556
200,-65.59828073521707,2,0.08444444
201,-55.15025067047068,2,0.09777778
202,-36.571184243920634,4,0.13777778
203,-58.93187072529664,2,0.08
204,-55.445973478472894,2,0.12444445
205,-53.06805112237911,2,0.15111111
206,-59.48759306998035,4,0.08888889
207,-45.59786599567612,3,0.10666667
208,-31.11170619355348,4,0.16
209,-76.86255061118032,2,0.04888889
210,-84.05055789503176,1,0.08
211,-55.74300432169747,2,0.11111111
212,-70.68568660417938,1,0.115555555
213,-64.20156944296998,3,0.093333334
214,-47.31450308774378,3,0.115555555
215,-47.23284632327853,3,0.09777778
216,-74.18716426866713,2,0.12
217,-52.17315370353998,3,0.10666667
218,-63.14743728079614,2,0.093333334
219,-46.904402674353044,4,0.09777778
220,-49.512857667603456,3,0.12
221,-38.95270730650415,4,0.14666666
222,-62.38338511906943,3,0.08
223,-80.40022054593486,0,0.08444444
224,-44.045330991498574,3,0.13333334
225,-44.222732593466844,3,0.10666667
226,-63.44370733670385,3,0.08444444
227,-41.23239558156386,3,0.12
228,-32.045415790978225,4,0.115555555
229,-45.64792462066035,3,0.10222222
230,-59.04202372344666,2,0.13333334
231,-66.02414250489637,1,0.10666667
232,-61.56281775351933,2,0.08888889
233,-51.23326559367699,2,0.10666667
234,-45.635547944268616,3,0.12888889
235,-75.22503845913087,1,0.09777778
236,-38.67476425019868,4,0.08888889
237,-29.991281414657035,5,0.12888889
238,-42.417446936698056,3,0.15555556
239,-94.23406259435595,1,0.04
240,-52.40150286666218,2,0.12
241,-47.170031309175684,3,0.15111111
242,-24.331255185123982,5,0.12
243,-73.1335659758756,3,0.08
244,-44.31122688640781,3,0.11111111
245,-63.73823744788045,1,0.12
246,-59.22035122001172,2,0.093333334
247,-50.79210549120738,4,0.10666667
248,-33.779345257848185,4,0.12
249,-65.9127425680388,2,0.08
250,-36.53297821587738,4,0.15111111
251,-69.4031854816833,1,0.115555555
252,-49.01552661607862,3,0.12888889
253,-88.22234850078596,2,0.053333335
254,-68.32108775077971,2,0.06666667
255,-92.03350594833141,2,0.062222224
256,-56.605873351804846,2,0.10666667
257,-53.79643425785424,2,0.12444445
258,-37.233739819685766,5,0.10666667
259,-45.45348674275378,3,0.11111111
260,-44.715909058030014,3,0.11111111
261,-52.334078186301745,4,0.10666667
262,-47.61382368139599,3,0.12444445
263,-67.53991319126324,2,0.053333335
264,-69.90948382436952,3,0.08
265,-101.37255895512764,2,0.044444446
266,-56.28149604817051,3,0.13777778
267,-43.634847616992474,3,0.15555556
268,-46.88949068177314,4,0.08888889
269,-65.16018902317819,2,0.15111111
270,-45.04549263856188,3,0.093333334
271,-48.99518823558039,3,0.10222222
272,-58.184829932594155,3,0.10222222
273,-48.017638653059144,3,0.12
274,-43.848652770947595,4,0.08888889
275,-63.85237311469121,2,0.10222222
276,-54.18746362514395,3,0.13777778
277,-49.71439221980078,3,0.10666667
278,-89.51601469079336,1,0.057777777
279,-38.513033280075945,4,0.13333334
280,-78.7829401597927,1,0.08444444
281,-77.97405988369981,1,0.12
282,-45.700650751310405,3,0.13333334
283,-38.20607094021492,4,0.13777778
284,-99.75237243991643,1,0.04888889
285,-98.69138522432813,1,0.04
286,-67.63487174830743,3,0.10666667
287,-50.46456315179202,3,0.16888888
288,-48.33824189840996,3,0.12444445
289,-92.33257795100846,2,0.044444446
290,-76.33610698359655,2,0.04888889
291,-34.29893883521172,4,0.115555555
292,-51.459104199276005,2,0.10666667
293,-63.554992564863966,2,0.11111111
294,-53.84083575115547,2,0.13777778
295,-74.34146284247319,2,0.10222222
296,-84.34775551099081,2,0.093333334
297,-79.02443150044827,0,0.10222222
298,-43.90621116101727,3,0.13777778
299,-48.032904154619125,3,0.115555555
300,-31.295608256154917,5,0.13777778
301,-64.74523979406897,2,0.12444445
302,-57.108997234747584,2,0.115555555
303,-47.91954271918789,3,0.12888889
304,-79.72960458686033,0,0.14222223
305,-31.21296525709594,5,0.13777778
306,-65.29478604078929,2,0.075555556
307,-61.41552803755819,2,0.10222222
308,-51.99537862249378,3,0.12
309,-81.26178661241417,2,0.093333334
310,-35.30117714837041,4,0.16444445
