episode,reward,victims_rescued,coverage_ratio,steps,avg_final_battery,total_energy_consumed,cumulative_risk,total_loss,actor_loss,critic_loss,entropy
0,265.33497570655186,8,0.43555555,207,0.0,2.0030000000000006,0.8208416195632355,1815.9241797491857,0.09639875739307424,3626.4854736328125,2.585044175386429
1,246.94710845909967,5,0.4488889,203,0.0,2.0219999999999994,0.7692327693933513,,,,
2,234.3796101305082,5,0.36,205,0.0,2.024,0.7728526579661178,,,,
3,225.724346261374,6,0.35555556,208,0.0,2.064999999999999,0.7855235825750391,,,,
4,204.19130681298174,5,0.32,199,0.0,2.0349999999999993,0.7911928791345347,,,,
5,247.72227473198186,6,0.33333334,198,0.0,2.0060000000000002,0.8009683512012156,,,,
6,240.32916837257616,5,0.44,205,0.0,2.049999999999999,0.7920554418282448,,,,
7,244.72612647192634,6,0.33777776,206,0.0,2.124999999999998,0.8253782352049123,,,,
8,174.44082224915567,3,0.3422222,201,0.0,2.0030000000000006,0.781971850056282,,,,
9,324.9569195981149,6,0.5511111,203,0.0,2.008000000000001,0.8088186934590085,,,,
10,332.15995939547804,8,0.4311111,202,0.0,2.0220000000000002,0.7779227069681448,,,,
11,408.5237808183878,10,0.49333334,203,0.0,2.01,0.7810812787741283,,,,
12,420.69087206102006,10,0.53333336,192,0.0,2.023999999999999,0.7547685292653327,,,,
13,246.2082142777867,6,0.34666666,202,0.0,2.017,0.78409238148087,,,,
14,224.7636377032009,5,0.33333334,202,0.0,2.013,0.7946641531199231,,,,
15,353.77110942454254,8,0.5288889,189,0.0,2.012999999999999,0.756699371697158,,,,
16,268.80113761113444,5,0.4488889,193,0.0,2.0080000000000005,0.7559241592576972,,,,
17,213.59397499240947,5,0.34666666,203,0.0,2.032,0.7966150005060275,,,,
18,288.8365395193329,7,0.40444446,198,0.0,2.019,0.7727106987111392,,,,
19,247.5427875663683,6,0.4,205,0.0,2.0150000000000006,0.7947741622421258,,,,
20,181.4022378872823,4,0.31111112,203,0.0,2.0460000000000003,0.8225174741811815,,,,
21,279.86689940398657,6,0.42222223,203,0.0,2.0519999999999996,0.793646706400887,,,,
22,147.54857269400355,4,0.24,202,0.0,2.082999999999999,0.7231084870664224,,,,
23,270.5125419625617,7,0.40888888,202,0.0,2.0389999999999993,0.760817202495885,,,,
24,326.89783197158914,7,0.50666666,207,0.0,2.100999999999998,0.8152912018940576,,,,
25,340.8677905526388,8,0.49333334,203,0.0,2.037,0.7854006298240718,,,,
26,126.08599043858037,3,0.2711111,205,0.0,2.0969999999999986,0.7743739707613034,,,,
27,276.24621795625876,5,0.49333334,212,0.0,2.064,0.8029721362494446,,,,
28,304.9668701709918,7,0.44,204,0.0,2.0969999999999978,0.8098086552672042,,,,
29,438.1096333734805,11,0.5288889,197,0.0,2.0649999999999986,0.7587177751012897,,,,
30,386.85455203203884,9,0.49333334,194,0.0,2.01,0.7778565311974099,,,,
31,347.73680961725535,8,0.48444444,202,0.0,2.0650000000000004,0.7670126921829761,,,,
32,213.16586382469254,5,0.41333333,206,0.0,2.0140000000000007,0.735182411687172,613.0708963876164,0.04591193846812358,1221.0367126464844,2.5066281259059906
33,276.1568507625455,7,0.4,214,0.0,2.0529999999999995,0.7848499491636297,,,,
34,218.47897606059172,5,0.38666666,203,0.0,2.073999999999999,0.7889749292938742,,,,
35,329.092344586456,7,0.46666667,200,0.0,2.045,0.7481103609029338,,,,
36,389.6521113161202,9,0.52,210,0.0,2.0349999999999997,0.8060992455919764,,,,
37,233.41480209822527,5,0.4,219,0.0,2.116999999999999,0.8268265267849755,,,,
38,180.34907690709738,5,0.32444444,215,0.0,2.0740000000000007,0.8470482061935031,,,,
39,313.76450129278396,8,0.43555555,210,0.0,2.0440000000000005,0.8013799138143936,,,,
40,252.01962361006636,6,0.41777778,208,0.0,2.1119999999999974,0.824825092662244,,,,
41,105.03029094869943,3,0.32,221,0.0,2.0609999999999995,0.8040872700866961,,,,
42,174.8841936864019,5,0.30666667,221,0.0,2.090999999999999,0.8208137542398721,,,,
43,361.86526503083365,9,0.4888889,201,0.0,2.056,0.7989023312777699,,,,
44,335.852121164073,7,0.5422222,212,0.0,2.0230000000000006,0.7993252557284446,,,,
45,301.1463406997751,7,0.46222222,203,0.0,2.0309999999999997,0.8050172866816546,,,,
46,321.1527542994783,8,0.45333335,207,0.0,2.0749999999999997,0.8064030467014398,,,,
47,285.0267766536089,7,0.49333334,217,0.0,2.0829999999999997,0.8070948897593916,,,,
48,176.70997167094586,4,0.35555556,219,0.0,2.1039999999999996,0.7852818886036217,,,,
49,162.83213142505858,4,0.3422222,216,0.0,2.078,0.8392445716627761,,,,
50,288.89828917085026,6,0.5644444,213,0.0,2.052,0.781127388609991,,,,
51,164.5718507561214,4,0.2888889,212,0.0,2.0370000000000004,0.8191032829252435,,,,
52,217.34626748587988,4,0.4,212,0.0,2.0420000000000007,0.8031288342746706,,,,
53,185.9014674832445,4,0.37333333,211,0.0,2.019000000000001,0.7796088344503687,,,,
54,135.92178617140215,4,0.25777778,202,0.0,2.0439999999999996,0.7752942552398512,,,,
55,136.60778204878903,3,0.28444445,212,0.0,2.034,0.7757745300807246,,,,
56,314.4427765973884,7,0.4888889,211,0.0,2.0470000000000006,0.8315215601741145,,,,
57,282.3118592244066,7,0.40444446,207,0.0,2.0629999999999993,0.7840893850395496,,,,
58,326.3761535438602,8,0.45333335,206,0.0,2.082,0.7747630970759855,,,,
59,143.23866145029035,5,0.33333334,216,0.0,2.065,0.7928892366473169,,,,
60,272.76860377286727,7,0.44444445,208,0.0,2.0230000000000006,0.7677464151421757,,,,
61,203.62828319387054,4,0.36444443,216,0.0,2.0880000000000005,0.8539544537419561,,,,
62,272.629754566954,6,0.40888888,202,0.0,2.0409999999999995,0.7788163622030634,,,,
63,156.34483338544308,4,0.29777777,205,0.0,2.0229999999999997,0.7622911076371228,,,,
64,212.96222600444364,5,0.35555556,208,0.0,2.03,0.8308382663704188,752.0356721882588,0.007581979489885149,1499.1350708007812,2.4605548083782196
65,266.93428828758414,5,0.47555557,207,0.0,2.053,0.8237941141610565,,,,
66,381.99978174057605,9,0.52,203,0.0,2.0180000000000002,0.7356945506282478,,,,
67,328.13101957451914,8,0.50666666,214,0.0,2.0709999999999997,0.802998695032058,,,,
68,406.4317350840016,10,0.5555556,204,0.0,2.060999999999999,0.8017509943998925,,,,
69,145.58414618100645,4,0.32,210,0.0,2.0289999999999995,0.7560702545995693,,,,
70,198.52877327409192,4,0.33777776,201,0.0,2.01,0.8180817817272064,,,,
71,213.30181864832372,5,0.36,203,0.0,2.0319999999999996,0.7858254234450722,,,,
72,366.11092340003563,8,0.4977778,196,0.0,2.048,0.7407117733309437,,,,
73,226.18996433548202,7,0.33333334,226,0.0,2.1649999999999987,0.8869623776345296,,,,
74,224.65436210550143,6,0.37777779,227,0.0,2.1909999999999967,0.8693625262998931,,,,
75,164.23185576929188,5,0.2888889,212,0.0,2.0439999999999996,0.7949696153805474,,,,
76,368.22110715139615,9,0.49333334,194,0.0,2.01,0.7819528565735826,,,,
77,305.5586951265284,8,0.3911111,204,0.0,2.0470000000000006,0.8126736582314374,,,,
78,276.43181102168535,6,0.45777777,209,0.0,2.126999999999998,0.8119859318876362,,,,
79,196.22120824708642,6,0.26222223,194,0.0,2.004999999999999,0.7209327835275766,,,,
80,144.92922762514732,3,0.31111112,213,0.0,2.0629999999999997,0.8280781583235071,,,,
81,215.3061220613179,5,0.37333333,210,0.0,2.033,0.7668718625788095,,,,
82,353.2513311629913,10,0.4,200,0.0,2.0269999999999992,0.7771112558005833,,,,
83,289.7628015948689,7,0.42666668,208,0.0,2.0699999999999994,0.8062665603420737,,,,
84,302.97855660183535,8,0.44,217,0.0,2.0569999999999986,0.8498828932109563,,,,
85,317.3075634666187,8,0.4977778,204,0.0,2.0050000000000003,0.8035224355587612,,,,
86,148.61598937643708,4,0.36888888,222,0.0,2.2049999999999965,0.8759207082375295,,,,
87,280.87451252859915,6,0.44,204,0.0,2.069999999999999,0.8064991647600659,,,,
88,159.54159365486106,5,0.25777778,210,0.0,2.0340000000000003,0.7844004230092603,,,,
89,401.8082327433222,10,0.52,196,0.0,2.035999999999999,0.7695578171118685,,,,
90,217.55834970805498,6,0.35555556,209,0.0,2.0589999999999993,0.823336686129668,,,,
91,297.12980059825884,7,0.46222222,210,0.0,2.068,0.7729466267827441,,,,
92,196.29992298017578,4,0.37333333,213,0.0,2.0929999999999995,0.7928318013216034,,,,
93,190.23919272297812,6,0.38222224,221,0.0,2.144999999999999,0.7854938184681107,,,,
94,323.0523380962369,7,0.51555556,218,0.0,2.1109999999999998,0.8334441269175226,,,,
95,122.8846747675252,3,0.30222222,218,0.0,2.0420000000000003,0.853048348831649,,,,
96,293.7208116522403,8,0.4311111,212,0.0,2.0809999999999986,0.7986392231839836,929.4287647806555,0.01089518298199374,1853.9861297607422,2.4248047173023224
97,251.79058582542135,8,0.40444446,235,0.0,2.213,0.8623076116385593,,,,
98,289.3153543135243,7,0.41777778,208,0.0,2.0429999999999997,0.8523897124317045,,,,
99,297.71081853279406,8,0.4888889,231,0.0,2.1489999999999982,0.8514920978137311,,,,
100,186.34402237999578,6,0.32,203,0.0,2.019999999999998,0.7706118413336129,,,,
101,177.8954993253044,6,0.36888888,252,0.0,2.257999999999997,0.8985400449797112,,,,
102,179.85785443000262,5,0.29333332,201,0.0,2.016999999999999,0.7973697046664873,,,,
103,131.1754319918853,5,0.30222222,214,0.0,2.075999999999999,0.8211845338743152,,,,
104,122.72192766045755,4,0.25333333,210,0.0,2.0489999999999995,0.8487248226361614,,,,
105,166.2914309333196,5,0.29777777,211,0.0,2.0899999999999976,0.8166779377786851,,,,
106,336.14451172233765,8,0.46666667,203,0.0,2.0689999999999995,0.8037792185108152,,,,
107,181.9121217599712,6,0.29777777,204,0.0,2.049,0.8030585493352378,,,,
108,27.0680101231843,5,0.26666668,233,0.0,2.046999999999999,0.8193859917877121,,,,
109,163.8064483342333,5,0.32444444,216,0.0,2.065999999999999,0.8586367777177668,,,,
110,187.20640394863688,5,0.29777777,201,0.0,2.0589999999999997,0.7985864034242033,,,,
111,254.2913453724402,5,0.42222223,205,0.0,2.028,0.7620169751706397,,,,
112,130.38176528773002,4,0.25777778,208,0.0,2.0140000000000007,0.7786289808179904,,,,
113,298.6849107019665,8,0.45777777,207,0.0,2.0409999999999995,0.8303392865355759,,,,
114,-10.753743391376329,3,0.13777778,225,0.0,2.047999999999999,0.8199562260917527,,,,
115,185.40913268835828,6,0.39555556,224,0.0,2.140999999999998,0.8107244874427726,,,,
116,270.9678222020785,7,0.48,211,0.0,2.022,0.8688918531947469,,,,
117,218.30584938093105,5,0.36444443,214,0.0,2.1329999999999987,0.8505700412712622,,,,
118,205.8135887118507,5,0.39555556,233,0.0,2.201999999999997,0.8741074192099474,,,,
119,226.37561001904652,5,0.48,221,0.0,2.170999999999998,0.8497326653968982,,,,
120,153.06016583133075,5,0.36,229,0.0,2.1599999999999966,0.8479622779112802,,,,
121,120.42168749154453,5,0.3422222,227,0.0,2.1329999999999987,0.859594167230357,,,,
122,78.87357813423186,4,0.2488889,209,0.0,2.022,0.8798147910512037,,,,
123,95.90238046209124,4,0.27555555,218,0.0,2.0909999999999997,0.9479746358605782,,,,
124,214.5927187497259,5,0.3422222,203,0.0,2.037,0.7862987500182751,,,,
125,289.7964090706002,7,0.45777777,208,0.0,2.0509999999999993,0.7473593952933294,,,,
126,169.8288195272677,6,0.26666668,201,0.0,2.0069999999999983,0.8462120315154888,,,,
127,72.84359338576436,3,0.19111112,209,0.0,2.0709999999999993,0.8554937742823724,,,,
128,247.87371294436227,6,0.35555556,211,0.0,2.0749999999999993,0.7894591370425015,843.1131120383749,0.14060877859680349,1682.1575927734375,1.8937068730592728
129,305.17769725543906,7,0.5288889,204,0.0,2.0180000000000002,0.8052735163040741,,,,
130,233.53381171335593,5,0.40444446,211,0.0,2.0809999999999995,0.7799858857762639,,,,
131,215.96137611510653,6,0.31555554,201,0.0,2.012,0.7395349256595596,,,,
132,220.82083586621343,5,0.41333333,204,0.0,2.049,0.8338909422524297,,,,
133,295.22236931724376,7,0.44444445,205,0.0,2.026,0.8580553788504113,,,,
134,319.3219224287482,9,0.4888889,209,0.0,2.0050000000000003,0.8008318380834412,,,,
135,155.43813453467084,5,0.29777777,226,0.0,2.0369999999999995,0.7926310310219403,,,,
136,294.56594726792457,7,0.42222223,200,0.0,2.0399999999999996,0.7543501821383615,,,,
137,354.4402974023708,8,0.48444444,205,0.0,2.0479999999999996,0.7725935065086085,,,,
138,306.5893609708028,7,0.46222222,208,0.0,2.0540000000000007,0.8078026019464764,,,,
139,252.3463609387594,6,0.46222222,211,0.0,2.0989999999999975,0.8254959374160382,,,,
140,262.90714080632466,7,0.39555556,218,0.0,2.0669999999999997,0.8454172795783534,,,,
141,254.38858820908465,5,0.47111112,215,0.0,2.0789999999999984,0.7861474527276914,,,,
142,209.0616632366106,5,0.41777778,206,0.0,2.0329999999999995,0.8596491175592924,,,,
143,295.14181849736826,8,0.4,213,0.0,2.0380000000000003,0.7938787668420956,,,,
144,403.9381534231725,10,0.49333334,209,0.0,2.082999999999999,0.770069771788504,,,,
145,115.86600561378087,4,0.24444444,219,0.0,2.131999999999998,0.796852959081269,,,,
146,260.50158241766013,6,0.42222223,211,0.0,2.085999999999999,0.7935211721559923,,,,
147,194.39165683491802,5,0.36888888,209,0.0,2.0169999999999995,0.8916762110054495,,,,
148,212.5596171873705,4,0.38666666,209,0.0,2.0070000000000006,0.8012788541752945,,,,
149,296.3912403392137,7,0.41333333,204,0.0,2.005000000000001,0.7933573107190749,,,,
150,196.23998369025935,5,0.33333334,210,0.0,2.1319999999999983,0.8102144206493761,,,,
151,207.766856036328,6,0.31555554,212,0.0,2.0559999999999987,0.8256229309114588,,,,
152,228.63086435460053,6,0.4,210,0.0,2.076999999999999,0.8550357096932893,,,,
153,129.02826110594972,3,0.33333334,214,0.0,2.0129999999999995,0.7713425929366808,,,,
154,233.6490550163789,5,0.42666668,203,0.0,2.03,0.8017696655747346,,,,
155,251.3212084068816,6,0.38666666,213,0.0,2.121999999999998,0.7963194395412275,,,,
156,262.8685493510911,7,0.37777779,214,0.0,2.1329999999999973,0.7626033765939313,,,,
157,209.7126374640636,5,0.3911111,213,0.0,2.1059999999999994,0.8263308357290925,,,,
158,221.788149899051,5,0.3511111,210,0.0,2.076999999999999,0.7871100067299324,,,,
159,135.03265603243412,4,0.25333333,207,0.0,2.057999999999999,0.9175562645043858,,,,
160,64.93207828537281,6,0.36,226,0.0,2.02,0.8402614476418109,3870.153822307243,0.07585184718582061,7736.3880615234375,1.8839396983385086
161,34.737148399818395,5,0.27555555,230,0.0,2.0519999999999996,0.901736773345436,,,,
162,66.16532054931335,5,0.29777777,223,0.0,2.0829999999999997,0.8246586300457719,,,,
163,129.176392658221,5,0.28,214,0.0,2.026,0.7868538227852553,,,,
164,232.8521328563852,10,0.4488889,223,0.0,2.0499999999999994,0.8087644762409892,,,,
165,-158.9571660527857,5,0.19555555,265,0.0,2.179,1.2846377368523867,,,,
166,110.86445915691326,6,0.25777778,217,0.0,2.1079999999999983,0.931702722872444,,,,
167,-53.06564631493737,4,0.16888888,213,0.0,2.0229999999999997,0.92992308766249,,,,
168,-58.914159001016465,4,0.22666667,233,0.0,2.0390000000000006,0.8543306000677586,,,,
169,-37.0303503800187,4,0.19111112,230,0.0,2.088999999999999,0.800983358667909,,,,
170,54.46940699469611,6,0.33333334,216,0.0,2.050999999999999,0.8817195336869221,,,,
171,92.98504661875961,5,0.28,203,0.0,2.0209999999999995,0.783396892082691,,,,
172,-60.540497505377,2,0.24,231,0.0,2.0060000000000007,0.7891798336917996,,,,
173,-89.55208119565683,4,0.24444444,230,0.0,2.0369999999999995,0.9780054130437905,,,,
174,-92.37541143853838,3,0.22222222,233,0.0,2.005000000000001,0.9093207625692137,,,,
175,40.164853967123356,5,0.26666668,217,0.0,2.0039999999999996,0.8826364021917684,,,,
176,-16.705637966672423,3,0.26222223,227,0.0,2.095999999999999,0.8854158644448228,,,,
177,58.777201254209295,6,0.34666666,227,0.0,2.052,0.7753599163860453,,,,
